id,role,type,description,size_ratio,style_line_ref,source
hero_rig,"player character: hierarchical rig (hips/torso/neck/2 arms/2 legs) posed by code",3d,"teenage street runner, coral-orange hoodie, teal cap, navy joggers, white sneakers, small teal backpack",~2.4 world units tall,STYLE FORMULA v2 blocks 1-5,procedural (three.js primitives)
hero_clips,"run / jump / fall / roll / jet poses driven by sine curves and pose targets",animation,"run cycle with arm swing and hip bob, tucked jump, dive, low slide, jetpack hover",5 clips,STYLE FORMULA v2 block 1,procedural (three.js)
hero_jetpack,"twin-tank jetpack with flickering flames, shown only while the jetpack power-up runs",3d,"steel twin tanks with gold cone flames",~0.5 units,STYLE FORMULA v2 blocks 3-4,procedural (three.js)
train,"lane-blocking obstacle; roof is a walkable surface reached from a ramp",3d,"saturated blue subway car, gold waistline stripe, glass rear face, red tail lights, roof vents",1.93 x 3.93 x 22 units,STYLE FORMULA v2 blocks 1-5,procedural (three.js)
barrier,"low obstacle answered by JUMP or a lane change",3d,"white concrete block with saturated warning-red chevrons and an amber lamp",1.8 x 1.43 units,STYLE FORMULA v2 blocks 1-5,procedural (three.js)
gantry,"overhead gantry answered by ROLL or a lane change; also placed on train roofs",3d,"steel sign frame with a white panel and red chevrons, open gap beneath",2.2 x 4.73 units,STYLE FORMULA v2 blocks 1-5,procedural (three.js)
ramp,"wedge that carries the hero up onto a train roof",3d,"steel wedge with a red and white striped lip",1.93 x 3.93 x 9.3 units,STYLE FORMULA v2 blocks 1-5,procedural (three.js)
track_bed,"three rail beds with rails and a wide concrete apron; static, the world scrolls past",3d,"ballast beds, steel rails with darker webs, concrete apron, teal curbs",300 units long,STYLE FORMULA v2 blocks 3-4,procedural (three.js)
sleepers,"scrolling sleepers under every lane — the primary speed cue",3d,"dark wooden sleepers",270 instances,STYLE FORMULA v2 block 3,procedural (InstancedMesh)
arch,"overhead arch spanning the yard; the strongest depth and speed cue",3d,"steel gantry arch with a teal sign panel and gold lamps",7.8 units tall,STYLE FORMULA v2 blocks 1-5,procedural (three.js)
lamp_post,"roadside lamp posts whipping past",3d,"steel pole with a side arm and a cream lamp head",5.4 units tall,STYLE FORMULA v2 blocks 1-4,procedural (three.js)
building,"city blocks flanking the yard, recycled along Z",3d,"rounded low-poly blocks in warm cream, sand, teal and peach with window bands",7-26 units tall,STYLE FORMULA v2 blocks 1-3,procedural (three.js)
skyline,"distant skyline ring that never approaches",3d,"desaturated blue-grey towers around the horizon",46 blocks,STYLE FORMULA v2 block 3,procedural (three.js)
clouds,"soft cloud clusters riding with the camera",3d,"rounded white puff clusters",9 clusters,STYLE FORMULA v2 block 4,procedural (three.js)
sky_dome,"vertical sky gradient",3d,"deep blue zenith fading to pale horizon haze",200-unit sphere,STYLE FORMULA v2 block 4,procedural (canvas gradient)
coin,"primary pickup; one InstancedMesh plus an additive glow quad",3d,"spinning gold disc with a soft gold glow",0.3 radius,STYLE FORMULA v2 block 3 (gold pickup signal hue),procedural (InstancedMesh)
pu_token,"power-up pickups: magnet / jetpack / x2 / hoverboard",3d,"gold torus ring around a white core with an additive glow quad",1.1 units,STYLE FORMULA v2 block 3,procedural (three.js)
blob_shadow,"soft contact shadow under the hero and every ground obstacle",3d,"radial dark-navy falloff quad",per object,STYLE FORMULA v2 block 4,procedural (canvas gradient)
toon_ramp,"4-step shading ramp shared by every material — the cel look",texture,"four-step luminance ramp with a lifted floor for sunny shadows",4x1 px,STYLE FORMULA v2 block 1,procedural (DataTexture)
lighting,"engine lighting derived from formula blocks 3-4",lighting,"warm hemisphere key, warm sun, cool sky-blue rim, pale blue distance fog",n/a,STYLE FORMULA v2 blocks 3-4,procedural (three.js lights)
hud_coin,"coin icon beside the counter — the only 2D art left",sprite,"spinning gold coin with a lightning-bolt stamp",72x72 px per frame,STYLE FORMULA v2 block 3,procedural (canvas)
favicon,"browser tab and catalog icon",image,"gold coin with a lightning bolt on converging rails",128x128 px,STYLE FORMULA v1 blocks 1-4,procedural (canvas)
music_chase,"looping background music track",audio,"upbeat instrumental chase loop, four-on-the-floor drums, funky bass, synth stabs",30 s loop,n/a (audio layer),generate (sonilo_music)
sfx_coin,"coin pickup confirmation",audio,"short bright ascending blip",0.12 s,n/a (audio layer),procedural (WebAudio)
sfx_jump,"jump acknowledgement",audio,"short upward whoosh",0.20 s,n/a (audio layer),procedural (WebAudio)
sfx_roll,"roll acknowledgement",audio,"short filtered noise sweep",0.25 s,n/a (audio layer),procedural (WebAudio)
sfx_powerup,"power-up pickup fanfare",audio,"three-note ascending arpeggio",0.40 s,n/a (audio layer),procedural (WebAudio)
sfx_crash,"crash / run over",audio,"low noise burst with a falling tone",0.60 s,n/a (audio layer),procedural (WebAudio)
card_thumbnail,"deploy card: OG image and marketplace cover",image,"key art of the runner sprinting down the rails, title RAIL RUSH",16:9,STYLE FORMULA v1 blocks 1-4,generate
